FacilityName,LicenseNumber,Status,IssueDate,StatusEffectivedate,LastRenewalDate,zipcode,City
ALLENTOWN OSTEOPATHIC HOSPITAL PHCY,PP418221L,Out of Business,,1975-08-31,,18104,ALLENTOWN
ALLENTOWN STATE HOSPITAL PHARMACY,HP417001L,Out of Business,1977-07-26,2010-12-17,2009-08-26,18103,ALLENTOWN
ALLIED PHARMACY,PP411128L,Out of Business,1977-07-06,1984-06-22,1983-10-27,19133,PHIADELPHIA
ALLOWAY PHARMACY,PP410052L,Out of Business,1977-08-10,1993-07-31,1991-10-15,16504,ERIE
ALLOWAYS PHARMACY,PP410818L,Out of Business,1978-06-20,1984-01-05,1981-09-09,16509,ERIE
ALL-PRO HOME INFUSION CARE COMPANY,PP414714L,Out of Business,1993-03-01,1995-05-11,1993-08-25,19020,BENSALEM
ALMAR PHARMACY,PP410053L,Out of Business,1977-10-05,1985-10-01,1983-06-30,15106,CARNEGIE
ALPINE DRUGS INC,PP413540L,Out of Business,1977-07-19,2001-10-03,2001-08-04,19043,HOLMES
ALTOONA REGIONAL HEALTH SYSTEM 7TH AVENUE CAMPUS,HP418123L,Out of Business,1977-07-26,2012-03-28,2011-08-02,16603,ALTOONA
ALVIN DRUG CENTER,PP412100L,Out of Business,1977-08-15,1997-10-08,1995-08-29,19144,PHILADELPHIA
AMBASSADOR DRUG INC,PP410056L,Out of Business,1977-08-05,1984-01-05,1981-09-02,19143,PHILADELPHIA
AMBLER CARE,PP414674L,Out of Business,1992-11-05,2006-06-30,2005-07-29,19422,BLUE BELL
AMBLER DRUG COMPANY,PP410057L,Out of Business,1977-07-19,1983-01-24,1983-01-25,19002,AMBLER
AMBLER PHARMACY,PP413067L,Out of Business,1984-11-19,1998-07-21,1997-07-22,19002,AMBLER
AMBULATORY PHARMACEUTICAL SERVICES,PP415501L,Out of Business,1999-03-04,2001-12-19,1999-08-02,19079,SHARON HILL
"AMCARE HEALTH SERVICES, INC #08001",PP414096L,Out of Business,1988-10-21,1994-05-24,1993-11-17,17404,YORK
"AMCARE HEALTH SERVICES, INC #19000",PP414731L,Out of Business,1993-04-19,1995-01-31,1993-11-17,15931,EBENSBURG
"AMCARE HEALTH SERVICES, INC. #17000",PP414274L,Out of Business,1990-01-26,1995-06-15,1993-12-14,15017,BRIDGEVILLE
AMERICAN ABBEY HOMECARE,PP410862L,Out of Business,1984-03-26,1986-03-19,1985-08-27,15216,PITTSBURGH
AMERICAN ABBEY HOMECARE,PP413280L,Out of Business,1983-04-19,1986-03-27,1985-10-03,19006,HUNTINGDN-VLY
AMERICAN CARDIOLOGY CARE,PP414572L,Out of Business,1992-03-17,1993-02-12,1992-03-24,19406,KING OF PRUSSIA
AMERICAN HOME PATIENT,PP414817L,Out of Business,1993-11-16,1997-11-19,1997-06-25,17105,HARRISBURG
AMERICAN HOMEPATIENT,PP415106L,Out of Business,1995-12-26,2000-06-01,1999-06-22,19053,TREVOSE
AMERICAN HOMEPATIENT,PP411549L,Out of Business,1977-07-11,2002-09-15,2001-08-04,15136,MCKEES ROCKS
AMERICAN PHARMACY,PP412719L,Out of Business,1977-07-18,2002-02-28,2001-08-04,19027,ELKINS PARK
AMERICAN PRESCRIPTION PROVIDERS OF,PP415523L,Out of Business,1999-08-04,2001-04-05,1999-08-05,19107,PHILADELPHIA
AMERICAN VETERINARY PHARMACEUTICALS,PP481920,Out of Business,2009-08-11,2013-04-26,2011-06-17,17701,WILLIAMSPORT
AMERICARE 1 PHARMACY,PP482222,Out of Business,2011-11-18,2017-10-25,2017-08-09,19124,PHILADELPHIA
AMERICURE RX - PENNSYLVANIA LLC,PP482360,Out of Business,2013-04-26,2015-06-20,2013-08-02,18106,ALLENTOWN
"AMERIMED PHARMACEUTICAL SERVICES,INC",PP481087,Out of Business,2001-12-17,2006-02-01,2005-07-22,19053,TREVOSE
AMES PHARMACY 547,PP410232L,Out of Business,1977-08-17,1991-07-10,1989-08-16,15642,N HUNTINGDON
AMES PHARMACY 551,PP410062L,Out of Business,1977-08-17,1992-03-02,1989-08-15,15317,MCMURRAY
AMES PHARMACY NUMBER 542,PP413917L,Out of Business,1987-04-16,1990-06-30,1989-08-15,15108,CORAOPOLIS
AMIGOS PHARMACY INC,PP481701,Out of Business,2007-06-19,2016-08-06,2015-08-11,19134,PHILADELPHIA
AMPN PHARMACY SERVICES,PP414512L,Out of Business,1991-10-31,2000-06-09,1999-10-28,15213,PITTSBURGH
AMPN PHARMACY SERVICES,PP414963L,Out of Business,1994-12-29,2000-06-09,1999-10-28,15090,WEXFORD
ANCHOR DRUGS,PP410061L,Out of Business,1977-07-11,1987-09-04,1985-08-27,16146,SHARON
ANDERSON MEDICAL SERVICES EAST,PP414478L,Out of Business,1991-08-20,1997-04-25,1996-04-23,15236,PITTSBURGH
ANDREW H WALSH PHARMACY,PP412810L,Out of Business,1977-07-08,2002-08-10,2001-08-01,18504,SCRANTON
ANEW RX,PP481694,Out of Business,2007-02-20,2013-03-01,2011-06-30,15205,PITTSBURGH
ANGKOR PHARMACY LLC,PP482423,Out of Business,2013-10-31,2018-06-25,2017-07-25,19148,PHILADELPHIA
ANGUS MACDOUGALS DRUGS,PP413075L,Out of Business,1977-08-25,1987-05-15,1985-07-11,19122,PHILADELPHIA
ANNEX PHARMACY,PP410066L,Out of Business,1977-07-12,2002-12-20,2001-08-02,15301,WASHINGTON
ANTHONYS PHARMACY INC,PP410068L,Out of Business,1977-07-14,2000-02-08,1997-06-18,15220,PITTSBURGH
"APC PHARMACY,INC",PP410008L,Out of Business,1977-07-18,2001-12-17,1999-06-16,19134,PHILADELPHIA
APOTHECARE INC,PP413692L,Out of Business,1985-07-26,1998-03-02,1997-06-30,18940,WRIGHTSTOWN
APOTHECARY OF HARLEYSVILLE,PP482367,Out of Business,2013-04-17,2017-01-03,2015-07-01,19438,HARLEYSVILLE
APOTHECARY PLUS,PP414079L,Out of Business,1988-09-12,1989-08-31,1988-09-12,18301,E STROUDSBURG
APOTHECARY SHOPPE,PP412756L,Out of Business,1981-11-20,1987-10-19,1985-07-08,15101,ALLISON-PARK
APPLIED PHARMACEUTI,PP411900L,Out of Business,1979-11-19,1982-03-01,1981-08-12,19428,W CONSHOHOCKN
APRIA HEALTHCARE INC,PP413664L,Out of Business,1985-07-08,2008-03-28,2007-08-21,19032,FOLCROFT
APRIA HEALTHCARE INC,PP414367L,Out of Business,1990-10-03,1998-12-22,1997-12-30,15317,CANONSBURG
"APRIA HEALTHCARE,INC",PP414669L,Out of Business,1992-11-03,2002-10-28,2001-08-10,17603,LANCASTER
APRIA PHARMACY NETWORK,PP414430L,Out of Business,1991-03-26,2017-03-31,2015-07-18,19032,FOLCROFT
"APS PHARMACY SERVICES, INC",PP415505L,Out of Business,1999-03-15,2011-01-05,2009-07-21,18640,PITTSTON
ARCHDIOCESE OF PHILA IPS SERVICE PHY,PP413078L,Out of Business,1977-07-12,1987-09-09,1985-07-24,19103,PHILADELPHIA
ARMORS PHARMACY,PP410939L,Out of Business,1977-08-31,1998-12-03,1997-08-22,15666,MT PLEASANT
ARMSTRONG PHARMACY,PP414871L,Out of Business,1994-05-09,1995-03-21,1994-10-04,15736,ELDERTON
ARMSTRONG PHARMACY 100,PP414918L,Out of Business,1994-08-15,1995-09-01,1994-10-04,16201,KITTANNING
ARNOLD DRUG STORE INC,PP410075L,Out of Business,1977-07-22,1999-05-19,1997-09-02,15068,ARNOLD
ARNOLD PHARMACY,PP410077L,Out of Business,1977-08-31,1990-08-15,1989-08-16,17362,SPRING GROVE
ARONIMINK PHARMACY,PP410078L,Out of Business,1977-07-08,1998-03-11,1997-07-15,19026,DREXEL HILL
ARROW PRESCRIPTION CENTER,PP410972L,Out of Business,1977-08-08,1996-04-18,1995-06-26,19102,PHILADELPHIA
ARROW PRESCRIPTION CENTER,PP413112L,Out of Business,1977-07-11,1997-04-01,1996-03-27,19149,PHILADELPHIA
ARROW PRESCRIPTION CENTER,PP413294L,Out of Business,1983-04-18,1996-07-03,1995-07-31,19115,PHILADELPHIA
ARROW PRESCRIPTION CENTER,PP411856L,Out of Business,1979-10-17,1996-12-18,1996-04-18,19115,PHILADELPHIA
ARROW PRESCRIPTION CENTER,PP412195L,Out of Business,1980-08-19,1996-07-10,1996-05-20,19146,PHILADELPHIA
ARROW PRESCRIPTION CENTER,PP413515L,Out of Business,1977-07-11,1996-06-24,1995-07-31,19001,ABINGTON
ARROWROOT NATURAL PHARMACY,PP414832L,Out of Business,1994-01-10,2007-12-20,2007-08-13,19301,PAOLI
ARTHUR M COLA PRESCRIPTIONS,PP410084L,Out of Business,1977-08-03,1986-04-16,1983-07-22,19147,PHILADELPHIA
ARWAY PHARMACY,PP410085L,Out of Business,1977-07-11,1996-01-31,1995-06-22,19111,PHILADELPHIA
ASCO HEALTHCARE INC,PP414335L,Out of Business,1990-07-17,1992-10-08,1991-06-25,19044,HORSHAM
"ASCRIBERX AMERICA, LLC",PP482603,Out of Business,2015-12-03,2017-08-31,,17112,HARRISBURG
ASD SPECIALTY SERVICES,PP415695L,Out of Business,2000-08-22,2000-08-22,2000-08-22,15221,PITTSBURGH
ASEPSIS INFUSION INC,PP481319,Out of Business,2004-01-09,2017-03-17,2015-06-20,18640,PITTSTON
ASHBOURNE PHARMACY,PP410086L,Out of Business,1977-07-21,1986-09-29,1985-08-08,19117,ELKINS PARK
ASHER DRUGS INC,PP410087L,Out of Business,1977-07-12,1984-01-12,1979-07-10,19124,PHILADELPHIA
ASKINS PHARMACY,PP410089L,Out of Business,1978-04-11,1979-08-31,1978-04-11,19104,PHILADELPHIA
ASSOCIATED PRESCRIPTION SERVICES INC,PP481359,Out of Business,2004-06-16,2005-02-25,,19079,SHARON HILL
ATLANTIC MEDICAL SERVICES INC.,PP414734L,Out of Business,1993-05-19,1994-09-30,1993-08-04,17602,LANCASTER
ATLANTIC PHARMACY,PP481968,Out of Business,2010-04-05,2014-06-22,2013-08-01,18954,RICHBORO
AUMP PHARMACY SERVICES,PP414511L,Out of Business,1991-10-30,1999-02-26,1998-05-20,15146,MONROEVILLE
AUREUS PHARMACY,PP482443,Out of Business,2014-01-27,2017-09-15,2017-07-25,15205,PITTSBURGH
AUTOMATED PHARMACEUTICAL SERVICES,PP413423L,Out of Business,1984-11-30,1996-02-07,1995-12-01,19063,ELWYN
B K PHARMACEUTICAL,PP415401L,Out of Business,1998-06-18,2007-07-27,2005-07-19,15091,WILDWOOD
B M C PHARMACY,PP413447L,Out of Business,1977-07-27,2002-12-10,2001-07-31,17013,CARLISLE
BACKSTROM PHARMACY,PP410101L,Out of Business,1977-07-11,1993-02-10,1991-07-02,15037,ELIZABETH
BAER DRUGS INC,PP410103L,Out of Business,1977-07-26,1981-01-21,1979-10-12,19146,PHILADELPHIA
BAERS PHARMACY,PP410104L,Out of Business,1977-07-11,1981-08-12,1979-07-26,17307,BIGLERVILLE
BAHMS PHARMACY,PP410105L,Out of Business,1977-07-11,1998-02-09,1995-08-30,15059,MIDLAND
BALA DRUG CO,PP410106L,Out of Business,1977-07-25,1981-07-09,1979-07-27,19131,PHILADELPHIA
BALDWIN COURT PHARMACY,PP412721L,Out of Business,1977-07-06,1997-09-10,1995-07-20,15236,PITTSBURGH
BALWYNNE PHARMACY,PP410108L,Out of Business,1977-07-22,2002-09-28,2001-07-06,19131,PHILADELPHIA
BANBURY PHARMACY,PP413978L,Out of Business,1987-10-27,2000-06-06,1999-08-04,19380,WEST CHESTER
BARDINS PHARMACY INC,PP410116L,Out of Business,1977-07-15,1993-08-04,1991-07-02,15219,PITTSBURGH
BARIX CLINICS OF PENNSYLVANIA LLC,HP418386,Out of Business,2002-08-26,2019-04-29,2017-08-01,19047,LANGHORNE
BARNES DRUG STORE,PP410119L,Out of Business,1977-07-11,1984-05-04,1983-06-28,17363,STEWARTSTOWN
BARNETT PHARMACY,PP410120L,Out of Business,1977-07-11,1998-02-20,1997-08-04,19149,PHILADELPHIA
BARONE PHARMACY,PP410393L,Out of Business,1977-07-18,1993-08-18,1991-07-08,18643,WEST PITTSTON
BARONS PHARMACY,PP413878L,Out of Business,1987-01-08,1993-10-22,1991-07-02,18702,WILKES BARRE
BARTON PHARMACY,PP410123L,Out of Business,1977-07-18,1988-05-02,1987-07-08,19120,PHILADELPHIA
BATTIN AND LUNGER PHARMACISTS,PP410128L,Out of Business,1977-07-15,1998-12-22,1997-06-19,19118,PHILADELPHIA
BAUER PHARMACY,PP410129L,Out of Business,1977-07-19,1989-08-02,1988-03-28,16001,BUTLER
BAUSES SUPER DRUG STORE,PP410131L,Out of Business,1977-07-11,2012-06-18,2011-07-17,19512,BOYERTOWN
BAYERS PHARMACY,PP410132L,Out of Business,1977-07-08,2012-03-30,2011-06-16,15697,YOUNGWOOD
BAYLINSON PHARMACY,PP411145L,Out of Business,1977-07-14,1984-10-30,1983-09-02,19121,PHILADELPHIA
BAYVIEW PHARMACY SERVICES LLC,PP481125,Out of Business,2002-03-12,2004-07-01,2003-08-29,16507,ERIE
BE WELL PHARMACY,PP482050,Out of Business,2010-08-27,2014-02-04,2013-08-14,18109,ALLENTOWN
BEACON PHARMACY,PP410134L,Out of Business,1977-07-18,1992-09-21,1992-05-08,15217,PITTSBURGH
BEAR CREEK PHARMACY,PP410722L,Out of Business,1979-05-21,1984-07-18,1983-09-12,187029760,WILKES-BARRE
BEAVER FALLS CORNER DRUG,PP415380L,Out of Business,1998-02-25,2011-11-10,2011-08-18,15010,BEAVER FALLS
BEAVER PHARMACY INC,PP410135L,Out of Business,1977-08-08,1986-10-10,1985-08-16,19038,GLENSIDE
BEAVER VALLEY GERIATRIC CTR PHARMACY,HP416518L,Out of Business,1977-07-29,1992-07-31,1992-06-08,15009,BEAVER
BECHTELS PHARMACY INC,PP413870L,Out of Business,1986-12-03,2013-01-01,2011-07-16,18088,WALNUT PORT
BECKETT APOTHECARY AND HOME HEALTH CARE,PP410137L,Out of Business,1977-07-25,2009-03-03,2007-06-12,19079,SHARON HILL
BECKETT HEALTHCARE PHARMACY SERVICES,PP415025L,Out of Business,1995-05-25,2001-08-31,2000-11-27,190790707,SHARON HILL
BECKETT PHARMACEUTICALS L L C,PP481313,Out of Business,2003-11-25,2007-11-30,2007-08-14,19079,SHARON HILL
BEL PHARMACY,PP410139L,Out of Business,1977-08-17,1980-07-14,1979-08-24,19036,GLENOLDEN
BELAIR PHARMACY,HP416572L,Out of Business,1973-01-22,1989-10-16,1989-08-14,15068,LOWER BURRELL
BELL PHARMACY,PP410141L,Out of Business,1977-07-08,1978-01-12,1977-07-27,19026,DREXEL HILL
BELL PHARMACY,PP410140L,Out of Business,1977-07-12,1980-04-04,1979-08-24,18042,EASTON
BELLS DRUG STORE,PP410146L,Out of Business,1977-07-08,1991-04-30,1990-11-26,15221,PITTSBURGH
BELLS DRUG STORE,PP410147L,Out of Business,1977-08-02,1995-03-25,1993-07-26,15106,CARNEGIE
BELLS DRUG STORE,PP410148L,Out of Business,1977-07-08,2002-09-10,2001-08-31,16627,COALPORT
BELMONT PHARMACY,PP482113,Out of Business,2011-01-28,2017-03-29,2015-06-16,19020,BENSALEM
BELMONT PHARMACY,PP410151L,Out of Business,1977-08-15,1995-03-04,1993-07-12,17403,YORK
BENBROOK PHARMACY,PP481842,Out of Business,2008-07-02,2011-09-16,2011-08-02,16001,BUTLER
BENDERS PHARMACY,PP410154L,Out of Business,1977-07-18,1993-10-06,1993-08-12,15061,MONACA
BENJAMIN PHARMACY INC,PP410413L,Out of Business,1977-08-08,1985-10-29,1985-03-05,19125,PHILADELPHIA
BENJAMINS PHARMACY,PP413309L,Out of Business,1977-07-19,1989-07-03,1987-08-27,16063,ZELIENOPLE
BENJAMINS PHARMACY INC,PP410157L,Out of Business,1977-07-19,1989-11-19,1989-08-21,16117,ELWOOD-CITY
BENNERS PHARMACY,PP410424L,Out of Business,1977-07-11,1999-12-15,1999-06-17,17543,LITITZ
BENNETTS PHARMACY,PP410159L,Out of Business,1977-08-02,1993-10-22,1993-07-20,17111,HARRISBURG
BENSALEM BOULEVAD PHARMACY,PP414775L,Out of Business,1993-09-02,2000-06-12,1997-06-19,19020,BENSALEM
BENSCREEK DRUG STORE INC,PP410160L,Out of Business,1977-07-20,2008-12-22,2007-06-13,15905,JOHNSTOWN
BERGMAN PHARMACY,PP415544L,Out of Business,1999-09-01,2008-02-05,2007-09-04,19047,LANGHORNE
BERGMAN PHARMACY,PP410169L,Out of Business,1977-08-15,1999-05-28,1997-07-15,19040,HATBORO
BERKS HEIM PHARMACY,HP416560L,Out of Business,1979-01-03,1984-12-24,1983-07-20,19603,READING
BERNARD L YOUNGER PHARMACY,PP412971L,Out of Business,1977-08-04,1984-01-12,1979-07-10,19124,PHILADELPHIA
BERNIES ITALIAN MARKET PHARMACY,PP412327L,Out of Business,1980-12-18,1986-06-05,1985-07-17,19147,PHILADELPHIA
BERNIES PHARMACY,PP410176L,Out of Business,1977-08-31,1994-09-08,1993-08-04,15216,PITTSBURGH
BERTOLINO PHARMACY,PP411671L,Out of Business,1977-07-15,2000-07-14,1999-06-16,19145,PHILADELPHIA
BETHAYRES PHARMACY,PP410182L,Out of Business,1977-07-25,2000-05-02,1999-06-22,19006,HUNTINGDN-VLY
BETHLEHEM PHARMACY,PP414446L,Out of Business,1991-05-22,1996-10-10,1995-07-20,18018,BETHLEHEM
BETHLEHEM STEEL FAMILY HEALTH CENTER,PP414739L,Out of Business,1993-06-01,2003-05-01,2001-07-19,18017,BETHLEHEM
BETH-PIKE PHARMACY INC,PP410181L,Out of Business,1977-07-13,2001-01-12,1995-06-22,19002,AMBLER
BEVERLY PHARMACY,PP410185L,Out of Business,1977-07-19,1999-03-05,1997-06-18,15216,PITTSBURGH
BEWARD PHARMACY,PP410186L,Out of Business,1977-07-29,2016-09-05,2015-06-13,170590192,MIFFLINTOWN
BIANCARELLIS PRESCRIPTION PHARMACY,PP410189L,Out of Business,1977-08-31,1997-09-04,1997-06-20,18434,JESSUP
BIG BEE PHARMACY,PP410695L,Out of Business,1977-07-06,1998-06-03,1997-06-16,17053,MARYSVILLE
BIG VALLEY AREA PHARMACY,PP413611L,Out of Business,1977-07-27,1997-10-30,1995-07-19,17084,REEDSVILLE
BILLS PHARMACY,PP410246L,Out of Business,1977-07-27,1996-06-05,1995-06-27,19143,PHILADELPHIA
BILO PHARMACY,PP414720L,Out of Business,1993-03-11,2008-09-23,2007-07-13,15905,JOHNSTOWN
BILO PHARMACY,PP414737L,Out of Business,1993-05-24,2006-08-24,2005-07-19,15904,JOHNSTOWN
BILO PHARMACY,PP414439L,Out of Business,1991-05-09,2010-04-08,2009-08-18,15905,JOHNSTOWN
BILO PHARMACY,PP414634L,Out of Business,1992-08-10,2008-08-28,2007-07-13,15714,NORTHERN CAMBRIA
BILO PHARMACY,PP414464L,Out of Business,1991-07-29,2003-11-17,2003-07-17,15701,INDIANA
BILO PHARMACY,PP415063L,Out of Business,1995-08-14,2008-08-27,2007-07-13,15717,BLAIRSVILLE
BILO PHARMACY,PP414765L,Out of Business,1993-08-03,2003-10-23,2003-08-04,16652,HUNTINGDON
BILO PHARMACY,PP414747L,Out of Business,1993-06-04,2007-02-01,2005-07-19,15801,DUBOIS
BILO PHARMACY,PP415017L,Out of Business,1995-04-18,2008-10-29,2007-07-13,16214,CLARION
BILO PHARMACY,PP415100L,Out of Business,1995-11-17,1999-01-27,1997-11-18,18640,PITTSTON
"BIOSCRIP INFUSIONS SERVICES, LLC",PP481324,Out of Business,2004-06-16,2010-05-01,2009-08-10,19406,KING OF PRUSSIA
BIRDVILLE PHARMACY,PP410194L,Out of Business,1977-08-05,1981-05-29,1979-08-10,15065,NATRONA HTS
BIRMINGHAM PHARMACY,PP410196L,Out of Business,1977-07-21,1986-02-10,1983-08-09,19380,WEST CHESTER
BJ'S PHARMACY #162,PP481507,Out of Business,2005-10-18,2007-02-07,,19145,PHILADELPHIA
BJ'S PHARMACY #52,PP481480,Out of Business,2005-07-26,2007-02-07,,19030,FAIRLESS HILLS
BJ'S PHARMACY #56,PP481475,Out of Business,2005-06-30,2007-02-15,,19064,SPRINGFIELD
BLACKS DRUG STORE,PP410200L,Out of Business,1977-07-27,1992-09-11,1992-06-30,19125,PHILADELPHIA
BLACKS PHARMACY,PP410199L,Out of Business,1977-08-08,1985-07-11,1983-07-27,19020,CORNWELLS HTS
BLAIR COUNTY PHARMACY,HP416570L,Out of Business,1978-01-12,1995-05-30,1994-09-29,16602,ALTOONA
BLAIR PHARMACY INC,PP410158L,Out of Business,1977-08-23,1991-05-30,1990-04-03,15017,BRIDGEVILLE
BLISS DRUG STORE,PP413069L,Out of Business,1977-07-14,1984-01-12,1979-07-10,19142,PHILADELPHIA
BLUE BELL PHARMACY INC,PP410210L,Out of Business,1977-10-17,2001-08-29,2000-06-01,19422,BLUE BELL
BLUE BELL VILLAGE PHARMACY,PP481448,Out of Business,2005-06-10,2010-05-27,2009-08-11,19422,BLUE BELL
BLUE GRASS PHARMACY,PP410211L,Out of Business,,1993-12-14,1991-08-22,19114,PHILADELPHIA
BLUE MOUNTAIN HOSPITAL,HP418281L,Out of Business,1977-07-21,2018-08-01,2017-08-07,18071,PALMERTON
BLUMENSCHEIN PHARMACY,PP410213L,Out of Business,1977-07-29,1990-09-04,1985-07-15,15401,UNIONTOWN
BOB ABER PHARMACY,PP410012L,Out of Business,1977-08-08,1996-11-01,1995-08-24,15120,MUNHALL
BOBS PHARMACY,PP410962L,Out of Business,1977-08-02,2000-05-18,1999-07-09,16159,W MIDDLESEX
BOERSTLERS PHARMACY,PP410216L,Out of Business,1977-07-18,2009-04-30,2007-06-26,18018,BETHLEHEM
BOLTZ PHARMACY,PP410220L,Out of Business,1977-07-25,1991-02-04,1989-08-18,19125,PHILADELPHIA
BONNETT LANE PHARMACY,PP410224L,Out of Business,1977-07-19,1983-11-17,1979-08-21,19040,HATBORO
BOOKBINDER PHARMACY,PP410427L,Out of Business,1977-08-23,1997-05-05,1995-07-11,19141,PHILADELPHIA
BORO PHARMACY,PP411409L,Out of Business,1977-07-20,1994-11-16,1993-07-12,18042,EASTON
BOSTON PHARMACY,PP413347L,Out of Business,1977-07-11,1984-02-06,1979-07-10,16501,ERIE
BOWEN PHARMACY,PP410233L,Out of Business,1977-08-08,1990-05-24,1989-08-14,15034,DRAVOSBURG
BOWENS PHARMACY INC,PP410234L,Out of Business,1977-08-19,1996-10-10,1995-06-23,18966,HOLLAND
BOWERS PHARMACY INC,PP410235L,Out of Business,1977-07-13,1987-02-19,1985-07-03,16901,WELLSBORO
BOWMAN PHARMACY,PP411942L,Out of Business,1977-07-14,1981-09-25,1981-08-24,19145,PHILADELPHIA
BOYDS PHARMACY,PP413620L,Out of Business,1977-07-19,1991-01-17,1989-09-01,15301,WASHINGTON
BOYDS PHARMACY,PP411160L,Out of Business,1977-07-14,1988-11-29,1988-05-02,15370,WAYNESBURG
BRACEY PHARMACY,PP415081L,Out of Business,1995-10-17,1997-10-03,1995-11-13,17931,FRACKVILLE
BRADDOCK APOTHECARY,PP415384L,Out of Business,1998-05-11,2000-12-19,1999-10-14,15104,BRADDOCK
BRADENBERG PHARMACY,PP410239L,Out of Business,1977-07-18,1992-06-15,1991-08-22,15065,NATRONA-HTS
BRADFORD PHARMACY,PP413546L,Out of Business,1977-07-21,2009-12-15,2009-08-03,16701,BRADFORD
BRANDYWINE APOTHECARY,PP411837L,Out of Business,1984-09-11,1994-03-10,1993-08-10,19320,COATESVILLE
BRAUNSTEIN PHARMACY,PP410240L,Out of Business,1977-08-15,1979-06-26,1977-09-13,19146,PHILADELPHIA
BRD PHARMACY,PP414856L,Out of Business,1994-03-29,1997-01-02,1995-07-11,19043,HOLMES
BREGMANS PHARMACY,PP410241L,Out of Business,1977-07-13,1990-07-16,1987-07-10,19111,PHILADELPHIA
BRENNEMAN & BRADY,PP410243L,Out of Business,1977-07-08,1992-11-15,1991-06-25,19002,AMBLER
BRENSINGERS PHARMACY INC,PP410405L,Out of Business,1977-07-19,1987-01-09,1985-07-08,18073,PENNSBURG
BRENSINGERS PHARMACY INC,PP411480L,Out of Business,1977-07-20,1999-10-27,1997-06-24,18073,PENNSBURG
BRIDGEPORT PHARMACY,PP410245L,Out of Business,1977-07-18,1994-09-24,1994-01-13,19405,BRIDGEPORT
BRIOVARX INFUSION SERVICES 102 LLC,PP481673,Out of Business,2006-12-15,2019-08-30,2017-08-02,15931,EBENSBURG
BRISTOL BORO PHARMACY,PP482092,Out of Business,2010-11-19,2015-01-06,2013-07-24,19007,BRISTOL
BRISTOL PHARMACY,PP412751L,Out of Business,1977-09-06,1989-07-26,1987-07-01,19007,BRISTOL
BROAD AND GIRARD PRESCRIPTION CENTER,PP412446L,Out of Business,1981-05-05,1994-07-28,1993-08-24,19121,PHILADELPHIA
BROAD AXE PHARMACY INC,PP410250L,Out of Business,1977-08-02,2003-09-05,2001-08-02,190025140,AMBLER
BROAD MOUNTAIN MANOR PHARMACY,HP416571L,Out of Business,1977-07-19,1980-11-13,1979-07-30,17931,FRACKVILLE
BROAD STREET PHARMACY INC,PP414363L,Out of Business,1990-09-25,2009-10-09,2009-08-28,19146,PHILADELPHIA
BROADTS PHARMACY,PP410251L,Out of Business,1977-08-02,1983-12-14,1983-08-17,17847,MILTON
BROADVIEW PHARMACY INC,PP411712L,Out of Business,1979-07-24,1983-05-10,1981-07-22,19122,PHILADELPHIA
BROADWAY PHARMACY,PP410750L,Out of Business,1977-12-07,2017-08-14,2015-07-21,17331,HANOVER
BROADWAY PHARMACY,PP412341L,Out of Business,1977-08-04,1989-04-17,1987-06-30,19132,PHILADELPHIA
BROCK PHARMACY,PP410252L,Out of Business,1977-07-08,1980-06-05,1979-08-13,16335,MEADVILLE
BROCKIE PHARMACY,PP410255L,Out of Business,1977-07-08,2000-10-20,1999-08-03,17403,YORK
"BROG PHARMACY,INC",PP410260L,Out of Business,1977-07-27,1999-02-05,1997-06-16,19123,PHILADELPHIA
BROOKE GLEN BEHAVIORAL HOSPITAL PHARMACY,HP418280L,Out of Business,1977-07-29,2011-09-09,2011-08-16,19034,FT WASHINGTON
BROOKHAVEN PHARMACY,PP410261L,Out of Business,1977-08-11,1987-10-14,1987-07-27,19015,CHESTER
BROOKLINE PHARMACY INC,PP410262L,Out of Business,1977-07-08,1987-07-17,1985-07-08,15226,PITTSBURGH
BROOKS DRUG INC DBA,PP410666L,Out of Business,1977-08-30,1995-01-24,1994-06-29,16505,ERIE
BROOKS DRUG INC DBA/,PP410663L,Out of Business,1977-08-30,1994-10-24,1994-06-29,16503,ERIE
BROOKS DRUG INC DBA/,PP412466L,Out of Business,1977-08-08,1994-08-20,1994-06-29,15206,PITTSBURGH
BROOKS DRUG NUMBER 745,PP410145L,Out of Business,1983-11-28,1993-08-30,1993-08-20,18344,MOUNT POCONO
BROOKS DRUG STORE,PP411901L,Out of Business,1979-12-20,1989-06-28,1987-08-31,19124,PHILADELPHIA
BROOKS DRUG STORE,PP411838L,Out of Business,1977-08-15,1992-06-08,1992-02-10,19149,PHILADELPHIA
BROOKS DRUG STORE,PP411834L,Out of Business,1977-08-15,1992-01-17,1991-09-16,19462,PLYMOUTH MTG
BROOKS DRUGS,PP413770L,Out of Business,1986-02-21,1986-11-17,1986-10-24,17042,CLEONA
BROOKS PHARMACY,PP410263L,Out of Business,1977-07-22,2017-08-24,2015-08-18,19135,PHILADELPHIA
BROOKS PHARMACY 1107,PP412444L,Out of Business,1977-08-08,1991-08-04,1990-03-07,157013579,INDIANA
BROOKS PHARMACY 1114,PP412469L,Out of Business,1977-08-08,1988-02-29,1987-08-31,16001,BUTLER
BROOKS PHARMACY 1128,PP412445L,Out of Business,1977-08-08,1992-04-28,1991-09-16,15220,PITTSBURGH
